,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.street,address.postalCode,position.lat,position.lng,contacts,address.subdistrict,address.houseNumber
0,Dharamraj,here:pds:place:356te7ug-aab7da0959a549568e2d5367360ac2f8,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12545, 'lng': 72.91935}]",1086,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Dharamraj, Hare Krishna Road, Powai, Mumbai 400076, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Powai,Hare Krishna Road,400076,19.12548,72.91935,,,
1,Pajasa Apartments,here:pds:place:356te7ug-2d6f7d8713484a3c822ff16d259a3672,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12339, 'lng': 72.91275}]",1115,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Pajasa Apartments, Central Avenue, Hiranandani Gardens, Powai, Mumbai 400076, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Powai,Central Avenue,400076,19.12339,72.91274,"[{'phone': [{'value': '+912269999891'}], 'www': [{'value': 'https://www.pajasaapartments.co.in'}]}]",Hiranandani Gardens,
2,Scorpio House,here:pds:place:356te7ug-3fc1a164b55c7471dfef61d914495aa7,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.11933, 'lng': 72.91227}]",1568,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Scorpio House, Central Avenue, Hiranandani Gardens, Powai, Mumbai 400076, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Powai,Central Avenue,400076,19.11933,72.91227,,Hiranandani Gardens,
3,Andheri East Service Apartments,here:pds:place:356te7uf-0d5db6077151dcd23696918063140033,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.11747, 'lng': 72.88374}]",3576,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Andheri East Service Apartments, Marol, Andheri East, Mumbai 400059, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Andheri East,,400059,19.11746,72.88374,"[{'phone': [{'value': '+919820049408'}], 'www': [{'value': 'http://www.servicedapartmentsmumbai.com/?s&search=1&post_type=estate&location=marol-andheri-east&term'}]}]",Marol,
4,Aghadi Nagar CHS,here:pds:place:356te7v5-ea19989e14a440f9b8386569ef29849e,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.16289, 'lng': 72.93287}]",3860,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Aghadi Nagar CHS, Dargah Road, Bhandup West, Mumbai 400078, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Bhandup West,Dargah Road,400078,19.16278,72.93287,[{'mobile': [{'value': '+919324060902'}]}],,
5,Irel Officers Apartment,here:pds:place:356te7ue-e65c876ed64c4bcd89ce874b75ef814b,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.09585, 'lng': 72.91369}]",4170,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Irel Officers Apartment, Damodar Park Road, Damodar Park, Ghatkopar West, Mumbai 400086, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Ghatkopar West,Damodar Park Road,400086,19.0959,72.91356,[{'phone': [{'value': '+912224220843'}]}],Damodar Park,
6,Vic Mon B Wing,here:pds:place:356te7ud-e1d26697d0d54f3eb62c7e6f73c431d1,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.11162, 'lng': 72.87512}]",4689,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Vic Mon B Wing, Church Road, J B Nagar, Andheri East, Mumbai 400059, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Andheri East,Church Road,400059,19.11167,72.87505,,J B Nagar,
7,Ramkrishna,here:pds:place:356te7vh-7a6a646cb9f14688aae4bcdda4a6c560,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.16653, 'lng': 72.95591}]",5790,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Ramkrishna, Hutatma Chapekar Bhandu Marg, Salvi Wadi, Mulund East, Mumbai 400081, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Mulund East,Hutatma Chapekar Bhandu Marg,400081,19.1665,72.95585,,Salvi Wadi,
8,Skiffle CHS,here:pds:place:356te7ue-44bc5a50b70e4079ba6ba5ad714cfa2e,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.07813, 'lng': 72.91169}]",6147,"[{'id': '900-9300-0221', 'name': 'Residential Area/Building', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Skiffle CHS, Vallabh Baug Lane, Ghatkopar East, Mumbai 400077, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Ghatkopar East,Vallabh Baug Lane,400077,19.07814,72.91175,,,
9,Ganash,here:pds:place:356te7vh-c25b431bc219440580a988745647d8fe,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.17182, 'lng': 72.9557}]",6168,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Ganash, Gopal Krishna Gokhale Road, Mulund East, Mumbai 400081, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Mulund East,Gopal Krishna Gokhale Road,400081,19.1718,72.95568,,,
10,Royal Palms Estate & Properties,here:pds:place:356te7v6-7424bd059ac945ec9d562343a4355614,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.16285, 'lng': 72.85787}]",6680,"[{'id': '700-7400-0145', 'name': 'Real Estate Services', 'primary': True}, {'id': '700-7200-0324', 'name': 'Apartment/Flat Rental'}]","Royal Palms Estate & Properties, Goregaon East, Mumbai 400063, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Goregaon East,,400063,19.16285,72.85787,"[{'phone': [{'value': '+912261462000'}], 'www': [{'value': 'http://www.royalpalmsindia.com'}]}]",,
11,Sana Guest House,here:pds:place:356te7uc-643359fa033fcf8daed1ed542792b39c,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12397, 'lng': 72.84666}]",7069,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sana Guest House, 68 S V Road, Andheri West, Mumbai 400058, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Andheri West,S V Road,400058,19.12396,72.84676,[{'phone': [{'value': '+912232156639'}]}],,68
