,title,address.label,distance,access,position.lat,position.lng,address.postalCode,contacts,id
0,Dharamraj,"Dharamraj, Hare Krishna Road, Powai, Mumbai 400076, India",1086,"[{'lat': 19.12545, 'lng': 72.91935}]",19.12548,72.91935,400076,,here:pds:place:356te7ug-aab7da0959a549568e2d5367360ac2f8
1,Pajasa Apartments,"Pajasa Apartments, Central Avenue, Hiranandani Gardens, Powai, Mumbai 400076, India",1115,"[{'lat': 19.12339, 'lng': 72.91275}]",19.12339,72.91274,400076,"[{'phone': [{'value': '+912269999891'}], 'www': [{'value': 'https://www.pajasaapartments.co.in'}]}]",here:pds:place:356te7ug-2d6f7d8713484a3c822ff16d259a3672
2,Scorpio House,"Scorpio House, Central Avenue, Hiranandani Gardens, Powai, Mumbai 400076, India",1568,"[{'lat': 19.11933, 'lng': 72.91227}]",19.11933,72.91227,400076,,here:pds:place:356te7ug-3fc1a164b55c7471dfef61d914495aa7
3,Andheri East Service Apartments,"Andheri East Service Apartments, Marol, Andheri East, Mumbai 400059, India",3576,"[{'lat': 19.11747, 'lng': 72.88374}]",19.11746,72.88374,400059,"[{'phone': [{'value': '+919820049408'}], 'www': [{'value': 'http://www.servicedapartmentsmumbai.com/?s&search=1&post_type=estate&location=marol-andheri-east&term'}]}]",here:pds:place:356te7uf-0d5db6077151dcd23696918063140033
4,Aghadi Nagar CHS,"Aghadi Nagar CHS, Dargah Road, Bhandup West, Mumbai 400078, India",3860,"[{'lat': 19.16289, 'lng': 72.93287}]",19.16278,72.93287,400078,[{'mobile': [{'value': '+919324060902'}]}],here:pds:place:356te7v5-ea19989e14a440f9b8386569ef29849e
5,Irel Officers Apartment,"Irel Officers Apartment, Damodar Park Road, Damodar Park, Ghatkopar West, Mumbai 400086, India",4170,"[{'lat': 19.09585, 'lng': 72.91369}]",19.0959,72.91356,400086,[{'phone': [{'value': '+912224220843'}]}],here:pds:place:356te7ue-e65c876ed64c4bcd89ce874b75ef814b
6,Vic Mon B Wing,"Vic Mon B Wing, Church Road, J B Nagar, Andheri East, Mumbai 400059, India",4689,"[{'lat': 19.11162, 'lng': 72.87512}]",19.11167,72.87505,400059,,here:pds:place:356te7ud-e1d26697d0d54f3eb62c7e6f73c431d1
7,Ramkrishna,"Ramkrishna, Hutatma Chapekar Bhandu Marg, Salvi Wadi, Mulund East, Mumbai 400081, India",5790,"[{'lat': 19.16653, 'lng': 72.95591}]",19.1665,72.95585,400081,,here:pds:place:356te7vh-7a6a646cb9f14688aae4bcdda4a6c560
8,Skiffle CHS,"Skiffle CHS, Vallabh Baug Lane, Ghatkopar East, Mumbai 400077, India",6147,"[{'lat': 19.07813, 'lng': 72.91169}]",19.07814,72.91175,400077,,here:pds:place:356te7ue-44bc5a50b70e4079ba6ba5ad714cfa2e
9,Ganash,"Ganash, Gopal Krishna Gokhale Road, Mulund East, Mumbai 400081, India",6168,"[{'lat': 19.17182, 'lng': 72.9557}]",19.1718,72.95568,400081,,here:pds:place:356te7vh-c25b431bc219440580a988745647d8fe
10,Royal Palms Estate & Properties,"Royal Palms Estate & Properties, Goregaon East, Mumbai 400063, India",6680,"[{'lat': 19.16285, 'lng': 72.85787}]",19.16285,72.85787,400063,"[{'phone': [{'value': '+912261462000'}], 'www': [{'value': 'http://www.royalpalmsindia.com'}]}]",here:pds:place:356te7v6-7424bd059ac945ec9d562343a4355614
11,Sana Guest House,"Sana Guest House, 68 S V Road, Andheri West, Mumbai 400058, India",7069,"[{'lat': 19.12397, 'lng': 72.84666}]",19.12396,72.84676,400058,[{'phone': [{'value': '+912232156639'}]}],here:pds:place:356te7uc-643359fa033fcf8daed1ed542792b39c
12,Twinkle Service Apartment,"Twinkle Service Apartment, Oshiwara Garden Road, Oshiwara Garden, Jogeshwari West, Mumbai 400102, India",7222,"[{'lat': 19.14636, 'lng': 72.84589}]",19.1462,72.8459,400102,"[{'phone': [{'value': '+919819099019'}], 'www': [{'value': 'http://Www.twinkleapartments.com'}]}]",here:pds:place:356te7uc-7c88537101df4ea6a68850a645d36a34
13,Bandy's Riversong,"Bandy's Riversong, Vile Parle East, Mumbai 400057, India",7322,"[{'lat': 19.10771, 'lng': 72.84909}]",19.10781,72.84909,400057,"[{'phone': [{'value': '+919820094164'}], 'www': [{'value': 'http://www.riversong.in'}]}]",here:pds:place:356te7u9-5649d8369dc442aaa7130bbe4e5324ae
14,Strawberry Vacations,"Strawberry Vacations, Nehru Road, Vile Parle East, Mumbai 400099, India",7460,"[{'lat': 19.09623, 'lng': 72.85419}]",19.09623,72.85419,400099,"[{'phone': [{'value': '+919664666457'}], 'www': [{'value': 'http://www.strawberryvacations.com'}]}]",here:pds:place:356te7u9-956d7d7d767748078ab88eb42c3cc8c9
15,LOTUS Colony Aarogy Kendra,"LOTUS Colony Aarogy Kendra, Shivaji Nagar-Lotus Colony, Govandi West, Mumbai 400043, India",7691,"[{'lat': 19.06424, 'lng': 72.91839}]",19.06441,72.91849,400043,,here:pds:place:356te7u7-3cf7a09df2294d679aa6037755081d5a
